src	trg	nij
10 Years (band)	Korn	1.6018278757106044
10 Years (band)	Linkin Park	1.6018278757106044
10 Years (band)	Disturbed (band)	1.6018278757106044
10 Years (band)	Puddle of Mudd	1.6018278757106044
10 Years (band)	Breaking Benjamin	1.6018278757106044
10 Years (band)	Alice in Chains	1.6018278757106044
10 Years (band)	Flyleaf (band)	1.6018278757106044
10 Years (band)	Highly Suspect	1.6018278757106044
10 Years (band)	Stone Temple Pilots	1.6018278757106044
10 Years (band)	Theory of a Deadman	1.6018278757106044
10 Years (band)	Mudvayne	1.6018278757106044
10 Years (band)	Shinedown	1.6018278757106044
10 Years (band)	Thousand Foot Krutch	1.6018278757106044
10 Years (band)	Deftones	1.6018278757106044
10cc	Peter Gabriel	3.848671262960016
10cc	Paul McCartney	3.848671262960016
10cc	Herman's Hermits	3.848671262960016
10cc	The Clash	3.848671262960016
10cc	Eric Clapton	3.848671262960016
10cc	Electric Light Orchestra	3.848671262960016
10cc	Jethro Tull (band)	3.848671262960016
10cc	The Hollies	3.848671262960016
10cc	The Yardbirds	3.848671262960016
10cc	Simon & Garfunkel	3.848671262960016
10cc	Roxy Music	3.848671262960016
10cc	Asia (band)	3.848671262960016
10cc	Steely Dan	3.848671262960016
10cc	The Moody Blues	3.848671262960016
10cc	Ringo Starr	3.848671262960016
10cc	ABBA	3.848671262960016
10cc	Toto (band)	3.848671262960016
10cc	Frank Zappa	3.848671262960016
10cc	Queen (band)	3.848671262960016
10cc	Duran Duran	3.848671262960016
10cc	George Harrison	3.848671262960016
10cc	Ramones	3.848671262960016
10cc	The Police	3.848671262960016
3 Doors Down	Nickelback	3.531764304920785
3 Doors Down	Rush (band)	3.531764304920785
3 Doors Down	Daughtry (band)	3.531764304920785
3 Doors Down	Puddle of Mudd	3.531764304920785
3 Doors Down	Alter Bridge	3.531764304920785
3 Doors Down	Creed (band)	3.531764304920785
3 Doors Down	Bob Seger	3.531764304920785
3 Doors Down	Hinder	3.531764304920785
3 Doors Down	Lynyrd Skynyrd	3.531764304920785
3 Doors Down	Seether	3.531764304920785
3 Doors Down	Days of the New	3.531764304920785
3 Doors Down	Train (band)	3.531764304920785
3 Doors Down	Staind	3.531764304920785
3 Doors Down	Breaking Benjamin	3.531764304920785
3 Doors Down	ZZ Top	3.531764304920785
3 Doors Down	Collective Soul	3.531764304920785
3 Doors Down	Flyleaf (band)	3.531764304920785
3 Doors Down	Finger Eleven	3.531764304920785
3 Doors Down	Pop Evil	3.531764304920785
3 Doors Down	Shinedown	3.531764304920785
3 Doors Down	Kiss (band)	3.531764304920785
311 (band)	Awolnation	4.554250208208467
311 (band)	Red Hot Chili Peppers	4.554250208208467
311 (band)	Papa Roach	4.554250208208467
311 (band)	Sublime with Rome	4.554250208208467
311 (band)	The Clash	4.554250208208467
311 (band)	Yes (band)	4.554250208208467
311 (band)	Pink Floyd	4.554250208208467
311 (band)	Incubus (band)	4.554250208208467
311 (band)	Jane's Addiction	4.554250208208467
311 (band)	Faith No More	4.554250208208467
311 (band)	The Rolling Stones	4.554250208208467
311 (band)	Deftones	4.554250208208467
311 (band)	Asia (band)	4.554250208208467
311 (band)	Korn	4.554250208208467
311 (band)	The Offspring	4.554250208208467
311 (band)	John Lennon	4.554250208208467
311 (band)	Anthrax (American band)	4.554250208208467
311 (band)	Emerson, Lake & Palmer	4.554250208208467
311 (band)	The Cure	4.554250208208467
311 (band)	Billy Joel	4.554250208208467
311 (band)	Led Zeppelin	4.554250208208467
38 Special (band)	REO Speedwagon	3.0572557562088285
38 Special (band)	Jefferson Starship	3.0572557562088285
38 Special (band)	Golden Earring	3.0572557562088285
38 Special (band)	Kansas (band)	3.0572557562088285
38 Special (band)	Grand Funk Railroad	3.0572557562088285
38 Special (band)	Huey Lewis and the News	3.0572557562088285
38 Special (band)	Styx (band)	3.0572557562088285
38 Special (band)	Bon Jovi	3.0572557562088285
38 Special (band)	Lynyrd Skynyrd	3.0572557562088285
38 Special (band)	Kid Rock	3.0572557562088285
38 Special (band)	Billy Joel	3.0572557562088285
38 Special (band)	Peter Frampton	3.0572557562088285
38 Special (band)	Ted Nugent	3.0572557562088285
38 Special (band)	Survivor (band)	3.0572557562088285
38 Special (band)	Journey (band)	3.0572557562088285
38 Special (band)	Bryan Adams	3.0572557562088285
38 Special (band)	Kiss (band)	3.0572557562088285
A Perfect Circle	Primus (band)	2.4613285741704454
A Perfect Circle	Guns N' Roses	2.4613285741704454
A Perfect Circle	Ozzy Osbourne	2.4613285741704454
A Perfect Circle	Evanescence	2.4613285741704454
A Perfect Circle	Our Lady Peace	2.4613285741704454
A Perfect Circle	Queens of the Stone Age	2.4613285741704454
A Perfect Circle	Foo Fighters	2.4613285741704454
A Perfect Circle	The Smashing Pumpkins	2.4613285741704454
A Perfect Circle	Tool (band)	2.4613285741704454
A Perfect Circle	Deftones	2.4613285741704454
A Perfect Circle	Seether	2.4613285741704454
A Perfect Circle	Velvet Revolver	2.4613285741704454
A Perfect Circle	John Lennon	2.4613285741704454
A Perfect Circle	Rage Against the Machine	2.4613285741704454
A Perfect Circle	Pixies (band)	2.4613285741704454
A Perfect Circle	The Cure	2.4613285741704454
A Perfect Circle	Queen (band)	2.4613285741704454
A Perfect Circle	Led Zeppelin	2.4613285741704454
A Perfect Circle	Depeche Mode	2.4613285741704454
A Perfect Circle	Nine Inch Nails	2.4613285741704454
A Perfect Circle	Weezer	2.4613285741704454
A Perfect Circle	Adam Ant	2.4613285741704454
A Perfect Circle	Marilyn Manson (band)	2.4613285741704454
A Perfect Circle	System of a Down	2.4613285741704454
ABBA	Iron Maiden	2.4340351101142543
ABBA	Genesis (band)	2.4340351101142543
ABBA	Ghost (Swedish band)	2.4340351101142543
