src	trg	weight
10 Years (band)	Shinedown	1.13371077983579
10 Years (band)	Highly Suspect	1.13371077983579
10 Years (band)	Disturbed (band)	1.13371077983579
10 Years (band)	Theory of a Deadman	1.13371077983579
10 Years (band)	Linkin Park	1.13371077983579
10 Years (band)	Puddle of Mudd	1.13371077983579
10 Years (band)	Stone Temple Pilots	1.13371077983579
10 Years (band)	Thousand Foot Krutch	1.13371077983579
10 Years (band)	Alice in Chains	1.13371077983579
10 Years (band)	Korn	1.13371077983579
10 Years (band)	Breaking Benjamin	1.13371077983579
10 Years (band)	Mudvayne	1.13371077983579
10 Years (band)	Flyleaf (band)	1.13371077983579
10 Years (band)	Deftones	1.13371077983579
10cc	Steely Dan	1.6161615314728524
10cc	The Police	1.6161615314728524
10cc	The Yardbirds	1.6161615314728524
10cc	Roxy Music	1.6161615314728524
10cc	Paul McCartney	1.6161615314728524
10cc	Duran Duran	1.6161615314728524
10cc	Herman's Hermits	1.6161615314728524
10cc	ABBA	1.6161615314728524
10cc	The Hollies	1.6161615314728524
10cc	rock music	1.6161615314728524
10cc	Frank Zappa	1.6161615314728524
10cc	The Clash	1.6161615314728524
10cc	Queen (band)	1.6161615314728524
10cc	Jethro Tull (band)	1.6161615314728524
10cc	Simon & Garfunkel	1.6161615314728524
10cc	Ringo Starr	1.6161615314728524
10cc	Asia (band)	1.6161615314728524
10cc	Ramones	1.6161615314728524
10cc	The Moody Blues	1.6161615314728524
10cc	Eric Clapton	1.6161615314728524
10cc	Toto (band)	1.6161615314728524
10cc	George Harrison	1.6161615314728524
10cc	Electric Light Orchestra	1.6161615314728524
10cc	Peter Gabriel	1.6161615314728524
3 Doors Down	Alter Bridge	1.6043778994583646
3 Doors Down	Creed (band)	1.6043778994583646
3 Doors Down	Puddle of Mudd	1.6043778994583646
3 Doors Down	Days of the New	1.6043778994583646
3 Doors Down	Pop Evil	1.6043778994583646
3 Doors Down	Bob Seger	1.6043778994583646
3 Doors Down	ZZ Top	1.6043778994583646
3 Doors Down	Train (band)	1.6043778994583646
3 Doors Down	Flyleaf (band)	1.6043778994583646
3 Doors Down	Daughtry (band)	1.6043778994583646
3 Doors Down	Shinedown	1.6043778994583646
3 Doors Down	rock music	1.6043778994583646
3 Doors Down	Seether	1.6043778994583646
3 Doors Down	Staind	1.6043778994583646
3 Doors Down	Nickelback	1.6043778994583646
3 Doors Down	Finger Eleven	1.6043778994583646
3 Doors Down	Collective Soul	1.6043778994583646
3 Doors Down	Rush (band)	1.6043778994583646
3 Doors Down	Breaking Benjamin	1.6043778994583646
3 Doors Down	Hinder	1.6043778994583646
3 Doors Down	Lynyrd Skynyrd	1.6043778994583646
3 Doors Down	Kiss (band)	1.6043778994583646
311 (band)	Jane's Addiction	1.866560599523385
311 (band)	The Cure	1.866560599523385
311 (band)	Led Zeppelin	1.866560599523385
311 (band)	The Rolling Stones	1.866560599523385
311 (band)	Red Hot Chili Peppers	1.866560599523385
311 (band)	Emerson, Lake & Palmer	1.866560599523385
311 (band)	Awolnation	1.866560599523385
311 (band)	The Offspring	1.866560599523385
311 (band)	Papa Roach	1.866560599523385
311 (band)	Sublime with Rome	1.866560599523385
311 (band)	rock music	1.866560599523385
311 (band)	The Clash	1.866560599523385
311 (band)	Billy Joel	1.866560599523385
311 (band)	John Lennon	1.866560599523385
311 (band)	Faith No More	1.866560599523385
311 (band)	Incubus (band)	1.866560599523385
311 (band)	Korn	1.866560599523385
311 (band)	Pink Floyd	1.866560599523385
311 (band)	Asia (band)	1.866560599523385
311 (band)	Yes (band)	1.866560599523385
311 (band)	Anthrax (American band)	1.866560599523385
311 (band)	Deftones	1.866560599523385
38 Special (band)	Journey (band)	1.5580890102455518
38 Special (band)	Golden Earring	1.5580890102455518
38 Special (band)	Survivor (band)	1.5580890102455518
38 Special (band)	Lynyrd Skynyrd	1.5580890102455518
38 Special (band)	REO Speedwagon	1.5580890102455518
38 Special (band)	Bon Jovi	1.5580890102455518
38 Special (band)	Bryan Adams	1.5580890102455518
38 Special (band)	rock music	1.5580890102455518
38 Special (band)	Billy Joel	1.5580890102455518
38 Special (band)	Ted Nugent	1.5580890102455518
38 Special (band)	Huey Lewis and the News	1.5580890102455518
38 Special (band)	Kid Rock	1.5580890102455518
38 Special (band)	Styx (band)	1.5580890102455518
38 Special (band)	Jefferson Starship	1.5580890102455518
38 Special (band)	Grand Funk Railroad	1.5580890102455518
38 Special (band)	Kansas (band)	1.5580890102455518
38 Special (band)	Peter Frampton	1.5580890102455518
38 Special (band)	Kiss (band)	1.5580890102455518
A Perfect Circle	Rage Against the Machine	1.2694946755629744
A Perfect Circle	The Cure	1.2694946755629744
A Perfect Circle	Weezer	1.2694946755629744
A Perfect Circle	Led Zeppelin	1.2694946755629744
A Perfect Circle	Pixies (band)	1.2694946755629744
A Perfect Circle	Queens of the Stone Age	1.2694946755629744
A Perfect Circle	Ozzy Osbourne	1.2694946755629744
A Perfect Circle	Guns N' Roses	1.2694946755629744
A Perfect Circle	Nine Inch Nails	1.2694946755629744
A Perfect Circle	Primus (band)	1.2694946755629744
A Perfect Circle	Foo Fighters	1.2694946755629744
A Perfect Circle	Depeche Mode	1.2694946755629744
A Perfect Circle	John Lennon	1.2694946755629744
A Perfect Circle	Queen (band)	1.2694946755629744
A Perfect Circle	The Smashing Pumpkins	1.2694946755629744
A Perfect Circle	Seether	1.2694946755629744
A Perfect Circle	Our Lady Peace	1.2694946755629744
A Perfect Circle	Velvet Revolver	1.2694946755629744
